;;;;;;;;;;;;;;;;
WKN;ISIN;Kategorie;Branche;Wertpapiertyp;Nennwert;Ranking als Zertifikate-Ampel;Anzahl Kurse;Neuberechnung der PeerGroup deaktiviert;berechnetes Risiko;eingestelltes Risiko;eingestelltes Risiko nicht durch Updates überschreiben;DSER geprüft;Freigegeben für Hausmeinungen;Kupon;Emissionsdatum;erster Kupontermin
;Name;Währung;Land;versteckt für munio-Suche;Zinsmethode;ausschüttend;Anleihenformeln für Rendite verwenden;Kursverlängerung durch Peergroup deaktiviert;berechnete Rendite;eingestellte Rendite;eingestellte Rendite nicht durch Updates überschreiben;DSER geprüft bis Datum;Freigegeben für Hausmeinungen bis;Anz. Kupon-Zahlungspunkte/Jahr;letzter Kupontermin;Laufzeit
AA7KKC;DE000AA7KKC6;Zertifikate;;[NONE];;;360;FALSE;61,8455 %;;;FALSE;Nicht geprüft;;;
;Barr.Gold B. 25 RBS 09/14;EUR;Kanada;FALSE;;;;FALSE;1,9613 %;;;;;;;24.09.2014
AA7KKD;DE000AA7KKD4;Zertifikate;;[NONE];;;362;FALSE;61,8455 %;;;FALSE;Nicht geprüft;;;
;Barr.Gold B. 26 RBS 09/14;EUR;Kanada;FALSE;;;;FALSE;2,216 %;;;;;;;24.09.2014
AA7KKE;DE000AA7KKE2;Zertifikate;;[NONE];;;316;FALSE;61,8455 %;;;FALSE;Nicht geprüft;;;
;Barr.Gold B. 28 RBS 09/14;EUR;Kanada;FALSE;;;;FALSE;0,0708 %;;;;;;;24.09.2014
AA7KKF;DE000AA7KKF9;Zertifikate;;[NONE];;;316;FALSE;61,8455 %;;;FALSE;Nicht geprüft;;;
;Barr.Gold B. 27 RBS 09/14;EUR;Kanada;FALSE;;;;FALSE;0,2044 %;;;;;;;24.09.2014
AA7KKG;DE000AA7KKG7;Zertifikate;;[NONE];;;316;FALSE;61,8455 %;;;FALSE;Nicht geprüft;;;
;Barr.Gold B. 29 RBS 09/14;EUR;Kanada;FALSE;;;;FALSE;0,1605 %;;;;;;;24.09.2014
AA7KKH;DE000AA7KKH5;Zertifikate;;[NONE];;;427;FALSE;61,8455 %;;;FALSE;Nicht geprüft;;;
;Barr.Gold B. 25 RBS 12/14;EUR;Kanada;FALSE;;;;FALSE;-2,574 %;;;;;;;24.12.2014
AA7KKJ;DE000AA7KKJ1;Zertifikate;;[NONE];;;384;FALSE;61,8455 %;;;FALSE;Nicht geprüft;;;
;Barr.Gold B. 26 RBS 12/14;EUR;Kanada;FALSE;;;;FALSE;0,9194 %;;;;;;;24.12.2014
CK4VRA;DE000CK4VRA5;Zertifikate;;[NONE];;;197;FALSE;28,7376 %;;;FALSE;Nicht geprüft;;;
;DE000CK4VRA5;EUR;;FALSE;;FALSE;;FALSE;-38,7136 %;;;;;;;20.09.2012
CZ9JT9;DE000CZ9JT98;Zertifikate;;[NONE];;;22;FALSE;61,8455 %;;;FALSE;Nicht geprüft;;;
;Commerzbank Knock-Out DJI 16.10.2013;EUR;;FALSE;;FALSE;;FALSE;-0,0024 %;;;;;;;
CZ9JTA;DE000CZ9JTA8;Zertifikate;;[NONE];;;16;FALSE;99,9827 %;;;FALSE;Nicht geprüft;;;
;Commerzbank Knock-Out DJI 16.10.2013;EUR;;FALSE;;FALSE;;FALSE;-47,6823 %;;;;;;;
CZ9JTB;DE000CZ9JTB6;Zertifikate;;[NONE];;;16;FALSE;99,9815 %;;;FALSE;Nicht geprüft;;;
;Commerzbank Knock-Out DJI 16.10.2013;EUR;;FALSE;;FALSE;;FALSE;-46,8634 %;;;;;;;
CZ9JTJ;DE000CZ9JTJ9;Zertifikate;;[NONE];;;19;FALSE;99,8073 %;;;FALSE;Nicht geprüft;;;
;"Commerzbank Knock-Out S&#38;P 500 18.12.2013";EUR;;FALSE;;FALSE;;FALSE;-32,079 %;;;;;;;
CZ9JUL;DE000CZ9JUL3;Zertifikate;;[NONE];;;1;FALSE;0,0 %;;;FALSE;Nicht geprüft;;;
;Commerzbank Knock-Out DAX;EUR;;FALSE;;FALSE;;FALSE;0,0 %;;;;;;;
CZ9JUM;DE000CZ9JUM1;Zertifikate;;[NONE];;;1;FALSE;0,0 %;;;FALSE;Nicht geprüft;;;
;Commerzbank Knock-Out DAX;EUR;;FALSE;;FALSE;;FALSE;0,0 %;;;;;;;
CZ9JUN;DE000CZ9JUN9;Zertifikate;;[NONE];;;1;FALSE;0,0 %;;;FALSE;Nicht geprüft;;;
;Commerzbank Knock-Out DAX;EUR;;FALSE;;FALSE;;FALSE;0,0 %;;;;;;;
CZ9JUP;DE000CZ9JUP4;Zertifikate;;[NONE];;;1;FALSE;0,0 %;;;FALSE;Nicht geprüft;;;
;Commerzbank Knock-Out DAX;EUR;;FALSE;;FALSE;;FALSE;0,0 %;;;;;;;
CZ9JUQ;DE000CZ9JUQ2;Zertifikate;;[NONE];;;1;FALSE;0,0 %;;;FALSE;Nicht geprüft;;;
;Commerzbank Knock-Out MDAX;EUR;;FALSE;;FALSE;;FALSE;0,0 %;;;;;;;
CZ9JVC;DE000CZ9JVC0;Zertifikate;;[NONE];;;1;FALSE;0,0 %;;;FALSE;Nicht geprüft;;;
;Commerzbank Knock-Out DAX 16.10.2013;EUR;;FALSE;;FALSE;;FALSE;0,0 %;;;;;;;
CZ9JVD;DE000CZ9JVD8;Zertifikate;;[NONE];;;1;FALSE;0,0 %;;;FALSE;Nicht geprüft;;;
;Commerzbank Knock-Out DAX 16.10.2013;EUR;;FALSE;;FALSE;;FALSE;0,0 %;;;;;;;
CZ9JVE;DE000CZ9JVE6;Zertifikate;;[NONE];;;1;FALSE;0,0 %;;;FALSE;Nicht geprüft;;;
;Commerzbank Knock-Out DAX 16.10.2013;EUR;;FALSE;;FALSE;;FALSE;0,0 %;;;;;;;
CZ9JVF;DE000CZ9JVF3;Zertifikate;;[NONE];;;1;FALSE;0,0 %;;;FALSE;Nicht geprüft;;;
;Commerzbank Knock-Out DAX 16.10.2013;EUR;;FALSE;;FALSE;;FALSE;0,0 %;;;;;;;
CZ9JVG;DE000CZ9JVG1;Zertifikate;;[NONE];;;1;FALSE;0,0 %;;;FALSE;Nicht geprüft;;;
;Commerzbank Knock-Out DAX 16.10.2013;EUR;;FALSE;;FALSE;;FALSE;0,0 %;;;;;;;
CZ9JVJ;DE000CZ9JVJ5;Zertifikate;;[NONE];;;3;FALSE;99,9236 %;;;FALSE;Nicht geprüft;;;
;Commerzbank Knock-Out DAX 16.10.2013;EUR;;FALSE;;FALSE;;FALSE;-86.944,9076 %;;;;;;;
CZ9JVR;DE000CZ9JVR8;Zertifikate;;[NONE];;;5;FALSE;99,9419 %;;;FALSE;Nicht geprüft;;;
;Commerzbank Knock-Out DAX 16.10.2013;EUR;;FALSE;;FALSE;;FALSE;-46.562,9973 %;;;;;;;
CZ9JVU;DE000CZ9JVU2;Zertifikate;;[NONE];;;6;FALSE;99,9465 %;;;FALSE;Nicht geprüft;;;
;Commerzbank Knock-Out DAX 16.10.2013;EUR;;FALSE;;FALSE;;FALSE;-37.668,4685 %;;;;;;;
CZ9JVV;DE000CZ9JVV0;Zertifikate;;[NONE];;;6;FALSE;99,9479 %;;;FALSE;Nicht geprüft;;;
;Commerzbank Knock-Out DAX 16.10.2013;EUR;;FALSE;;FALSE;;FALSE;-37.797,7975 %;;;;;;;
CZ9JVW;DE000CZ9JVW8;Zertifikate;;[NONE];;;6;FALSE;99,9492 %;;;FALSE;Nicht geprüft;;;
;Commerzbank Knock-Out DAX 16.10.2013;EUR;;FALSE;;FALSE;;FALSE;-37.928,9441 %;;;;;;;
CZ9JW0;DE000CZ9JW02;Zertifikate;;[NONE];;;6;FALSE;99,9539 %;;;FALSE;Nicht geprüft;;;
;Commerzbank Knock-Out DAX 16.10.2013;EUR;;FALSE;;FALSE;;FALSE;-38.412,4122 %;;;;;;;
